Gene,positivePosteriorProb,negativePosteriorProb,FDR
TGIF2,0.06393772,0.379721864,0.213829283
TGS1,0.02537793,0.059192891,0.773633712
THAP10,0.025845483,0.064085859,0.762592288
THAP11,0.029389162,0.127116535,0.576381084
THAP1,0.026031265,0.068382645,0.749360008
THAP2,0.026573002,0.073139579,0.731299387
THAP3,0.0788791,0.262394175,0.301959353
THAP4,0.026793738,0.075113013,0.724286963
THAP6,0.033551145,0.147272323,0.525711264
THAP7,0.027374506,0.081512236,0.701108355
THAP8,0.027019574,0.077132817,0.716547594
THAP9,0.025756536,0.063716675,0.763769356
THOC2,0.021007619,0.061951851,0.775485093
THOC3,0.02756015,0.085389607,0.688678757
THUMPD1,0.020957599,0.049220364,0.781537368
THUMPD3,0.023967727,0.068897816,0.754258936
TICAM1,0.026899798,0.080525152,0.705897443
TIGD1,0.035980523,0.245062789,0.376716389
TIGD2,0.02699143,0.078289357,0.712838443
TIGD3,0.025343864,0.058851714,0.774189112
TIGD4,0.027924805,0.1060863,0.62745501
TIGD5,0.026238897,0.070414001,0.741725723
TIGD6,0.018772721,0.043009909,0.785604308
TIGD7,0.019858924,0.052942499,0.780407193
TINF2,0.027788242,0.098535989,0.647717895
TIPARP,0.022460073,0.105064124,0.644030823
TLE2,0.027515595,0.082249657,0.698426677
TLE3,0.020458514,0.062145531,0.775850461
TLE6,0.02679505,0.075780691,0.721810696
TLX2,0.026400524,0.071424349,0.737763275
TMEM189,0.027003284,0.073985994,0.727089038
TMEM235,0.028441816,0.105151411,0.6284271
TMPO,0.026247758,0.070793458,0.740185784
TNIP1,0.018707201,0.057380099,0.778680852
TNP1,0.026812765,0.074605696,0.725786533
TNP2,0.025677423,0.062770799,0.766268253
TNRC18,0.029775057,0.113539931,0.60477046
TNRC6A,0.026800255,0.081065009,0.70446261
TNRC6B,0.468139936,0.107568819,0.121195343
TNS4,0.028087637,0.097615829,0.649679348
TOE1,0.026823235,0.077752562,0.715247944
TOP3A,0.027089085,0.07980469,0.707718067
TOP3B,0.0258941,0.064901847,0.760202978
TOR1AIP1,0.021788886,0.055174365,0.778217092
TOX2,0.027667071,0.085292991,0.68865606
TOX3,0.019290266,0.048256365,0.782910364
TOX4,0.906581395,0.995217757,0
TOX,0.027650512,0.091581062,0.668454452
TPRX1,0.026666644,0.07837257,0.713678006
TRA2A,0.025527758,0.060401605,0.771521591
TRA2B,0.020157767,0.062485794,0.775754413
TRAF3IP1,0.147301001,0.117633697,0.397600085
TRAFD1,0.029495673,0.109850217,0.613326219
TRANK1,0.02748955,0.090732101,0.671370113
TRERF1,0.033015661,0.178455934,0.475070244
TRIM16,0.0201167,0.056047235,0.778603578
TRIP13,0.066653272,0.374390115,0.216712201
TRIP4,0.028669745,0.103480103,0.632077913
TRMT10A,0.019108472,0.045971456,0.784261935
TRMT10B,0.027842855,0.097573434,0.650572457
TRMT11,0.025564776,0.060462478,0.771361979
TRMT13,0.051722562,0.148488955,0.492249697
TRMT1L,0.027686645,0.09097811,0.670000191
TRMT2A,0.029134127,0.089849546,0.668855997
TRMT5,0.189119182,0.942405526,0
TRMT61A,0.025737009,0.063974614,0.763084572
TRNAU1AP,0.175142719,0.906448685,0
TROVE2,0.018037331,0.054181129,0.780629167
TRPC3,0.02048456,0.057897189,0.777618636
TRPC5,0.02699114,0.076489077,0.718754119
TRPV2,0.025787571,0.063495624,0.764222927
TRPV6,0.025442976,0.060524142,0.77143184
TRUB1,0.025584172,0.061881012,0.768649488
TRUB2,0.01901823,0.044840133,0.784840832
TSC22D2,0.032379449,0.122566635,0.579666783
TSHZ1,0.026738316,0.078086397,0.714366596
TSHZ2,0.026657982,0.075556398,0.723180872
TSNAX,0.028754825,0.103860739,0.631023877
TSN,0.026103856,0.067817515,0.750993233
TSPYL1,0.026277062,0.069652354,0.74417049
TSPYL4,0.025609683,0.062595392,0.766908732
TTF2,0.026842517,0.076861723,0.71809353
TULP1,0.026399526,0.073561106,0.730360144
TULP3,0.028296345,0.103937478,0.631902734
TUT1,0.023330135,0.079576104,0.720574886
TWISTNB,0.944515833,0.965128668,0
T,0.025680902,0.063310513,0.765016597
U2AF1L4,0.02601119,0.066590582,0.755096405
U2AF1,0.573471226,0.478930557,0
UBN1,0.03404811,0.166326454,0.491944188
UBN2,0.029885775,0.107208909,0.61905611
UBP1,0.038468303,0.318072101,0.287972055
UBTFL1,0.026120528,0.067355959,0.752463078
UBTF,0.014395046,0.051588124,0.783760103
UNCX,0.026711742,0.077346157,0.71679507
UPF3A,0.029511635,0.105801972,0.623870487
UPF3B,0.028785922,0.103339259,0.632182912
USF1,0.021272989,0.079592159,0.727487752
USF2,0.028305443,0.099713167,0.642801262
UTF1,0.025383542,0.059507244,0.773085118
UTP14A,0.03906284,0.156068335,0.500710868
UTP18,0.118377544,0.449555703,0.126404894
UTP20,0.125030383,0.657297143,0.032085648
UTP3,0.469400511,0.635055708,0
UTP6,0.823131974,0.984801264,0
VAX1,0.028833331,0.10251295,0.634507542
VAX2,0.027177876,0.089095999,0.677801849
VCAN,0.026968384,0.078243422,0.713076377
VENTX,0.02727031,0.083068539,0.696702265
VEPH1,0.018868962,0.043579566,0.78540103
VEZF1,0.084321582,0.458492826,0.141875851
VGLL1,0.026630135,0.076358022,0.720370307
VGLL2,0.026078613,0.06814722,0.750117417
VGLL3,0.025690815,0.061957553,0.768238011
VGLL4,0.028270489,0.1026344,0.635638743
VPS72,0.992691174,0.998731585,0
VRTN,0.031906648,0.176738264,0.479950368
VSX1,0.026206764,0.068377142,0.748800509
WASL,0.025887185,0.066300561,0.756256155
WBP4,0.026437294,0.073448425,0.730638242
WDR12,0.029036403,0.115874151,0.601302303
WDR36,0.15770433,0.076074951,0.443126911
WDR46,0.067358178,0.366393727,0.223344269
WDR61,0.043420212,0.259844818,0.348197956
WDR83,0.023225179,0.066603759,0.762811407
WDR92,0.030071941,0.097963253,0.642736246
WIZ,0.084133698,0.473622355,0.129786502
WNT9B,0.026056727,0.067832035,0.751117677
WWTR1,0.021494651,0.078732174,0.72941168
XPO5,0.054096383,0.278942593,0.312252756
YAF2,0.026773135,0.079439571,0.709904783
YAP1,0.019814924,0.053535752,0.780156374
YEATS2,0.990665106,0.998250346,0
YEATS4,0.047883481,0.267473138,0.329771752
YTHDC1,0.992669618,0.999911733,0
YTHDC2,0.025905039,0.063845203,0.762997245
YY1,0.03153924,0.238277325,0.390884077
YY2,0.026072081,0.067295853,0.752720042
ZBED1,0.026354365,0.102611762,0.640342701
ZBED2,0.028376835,0.114033463,0.606559538
ZBED3,0.026551757,0.076176206,0.72123697
ZBED4,0.057026208,0.484172508,0.142759526
ZBP1,0.025876891,0.066119046,0.756795482
ZBTB10,0.186002712,0.850894941,0
ZBTB11,0.026121837,0.069774871,0.744291085
ZBTB12,0.025778038,0.063621683,0.763996431
ZBTB14,0.063987669,0.420585273,0.183396812
ZBTB18,0.02733756,0.080536196,0.704442824
ZBTB1,0.019622942,0.05197784,0.780909218
ZBTB20,0.035199049,0.120973064,0.577072558
ZBTB21,0.027797673,0.086258435,0.685131241
ZBTB22,0.055652537,0.496680573,0.134976381
ZBTB24,0.025566776,0.062014741,0.768392539
ZBTB25,0.020610848,0.054690345,0.779144107
ZBTB26,0.035059912,0.168917647,0.486455311
ZBTB2,0.894865091,0.990541732,0
ZBTB32,0.018580442,0.039693668,0.786663042
ZBTB33,0.025236451,0.057207424,0.77591768
ZBTB34,0.02656291,0.075872605,0.72249812
ZBTB37,0.021338801,0.089561175,0.695188215
ZBTB38,0.019825275,0.044982075,0.784406653
ZBTB39,0.03672775,0.209685818,0.424533194
ZBTB41,0.026418793,0.073575629,0.730205298
ZBTB43,0.021873079,0.080518316,0.722665062
ZBTB44,0.030057225,0.140637573,0.54538319
ZBTB45,0.019350719,0.04685128,0.783673223
ZBTB46,0.019553188,0.053257961,0.780387899
ZBTB47,0.025747879,0.063488177,0.764405889
ZBTB48,0.027175535,0.076484697,0.718215521
ZBTB49,0.0614592,0.262025618,0.321932796
ZBTB4,0.027348723,0.172950078,0.492020611
ZBTB6,0.028105669,0.086927123,0.681955504
ZBTB7A,0.01896676,0.044564194,0.785014568
ZBTB7B,0.019588358,0.047706387,0.783084252
ZBTB7C,0.017822393,0.051586428,0.78194339
ZBTB8B,0.027169109,0.082438798,0.699051113
ZC3H10,0.034591105,0.266773234,0.350865035
ZC3H11A,0.061655257,0.792050539,0.014038753
ZC3H13,0.80946272,0.990627849,0
ZC3H14,0.017283239,0.080150374,0.73897504
ZC3H18,0.027150235,0.082705857,0.698196848
ZC3H3,0.031868191,0.1107994,0.606186512
ZC3H4,0.059163375,0.517399133,0.120741555
ZC3H6,0.026095018,0.069383065,0.745660439
ZC3H8,0.6289746,0.367710354,1.02E-05
ZC3HAV1,0.026133033,0.068098864,0.750054547
ZCCHC11,0.025330845,0.0586614,0.774325149
ZCCHC13,0.025915917,0.064805157,0.760450375
ZCCHC17,0.052001496,0.145584678,0.496409999
ZCCHC8,0.700207098,0.99390431,0
ZCCHC9,0.502123148,0.965819342,0
ZCRB1,0.042896727,0.256198935,0.354162194
ZDHHC11,0.019377512,0.049489591,0.78219477
ZDHHC19,0.027860925,0.095238887,0.65649263
ZFAT,0.268051165,0.88445198,0
ZFHX2,0.061567451,0.155016652,0.468488935
ZFHX4,0.020112127,0.05753945,0.777956389
ZFP14,0.026263348,0.069865627,0.743484125
ZFP1,0.025937975,0.066327647,0.755961708
ZFP28,0.026893859,0.082362523,0.699960853
ZFP2,0.023580952,0.176663112,0.492173365
ZFP30,0.019050275,0.044558752,0.784985619
ZFP36L1,0.021003461,0.070444947,0.758394577
ZFP36L2,0.051879086,0.419981315,0.192723942
ZFP37,0.028069478,0.10476236,0.630635583
ZFP3,0.026052427,0.067785887,0.751390827
ZFP41,0.026737207,0.074532762,0.726222521
ZFP42,0.029992534,0.105357214,0.623796441
ZFP57,0.026938287,0.082705186,0.698884945
ZFP62,0.020294763,0.063500623,0.774577423
ZFP69,0.030718429,0.131728707,0.562953121
ZFP82,0.026080442,0.066839562,0.754114611
ZFP90,0.042664533,0.285203852,0.317496726
ZFP91,0.043876458,0.127053237,0.54497068
ZFP92,0.063741594,0.214758732,0.380204667
ZFPM1,0.080376972,0.290001165,0.275133117
ZFR2,0.310847316,0.245713065,0.131148366
ZFR,0.02683048,0.078381424,0.713058093
ZFX,0.475030366,0.965671356,0
ZGLP1,0.0336668,0.109625196,0.604812296
ZHX1,0.019411264,0.052048339,0.78097682
ZHX2,0.025705107,0.062341385,0.767284577
ZHX3,0.019617436,0.066881847,0.770479378
ZIC1,0.026263908,0.071467348,0.737920914
ZIC4,0.018528891,0.058424055,0.778236411
ZIC5,0.025502605,0.06054305,0.771312052
ZIK1,0.025760259,0.0639691,0.763040919
ZIM2,0.019166736,0.045765253,0.784319821
ZIM3,0.027219167,0.083349641,0.69604357
ZKSCAN2,0.027516781,0.081173041,0.701698112
ZKSCAN3,0.045203833,0.226969015,0.387991739
ZKSCAN4,0.396277703,0.062631198,0.201318734
ZKSCAN5,0.02223165,0.058123745,0.77690628
ZKSCAN7,0.041117059,0.121960998,0.561016975
ZKSCAN8,0.029531974,0.085188335,0.683079039
ZMAT1,0.020084361,0.060751318,0.776714218
ZMAT2,0.030150886,0.147189682,0.533246606
ZMAT4,0.025925329,0.066610488,0.755227293
ZMAT5,0.029069348,0.102690517,0.633332762
ZMIZ1,0.025913366,0.065940447,0.75723861
ZMYM4,0.03140862,0.091277894,0.657838328
ZMYM6,0.03747892,0.346634143,0.263096401
ZNF100,0.027125486,0.078131806,0.712948326
ZNF101,0.032059433,0.144983683,0.533871686
ZNF106,0.027505552,0.08497385,0.690211869
ZNF107,0.017600486,0.048701771,0.783615313
ZNF114,0.018833745,0.075015526,0.751304012
ZNF117,0.027329685,0.0841775,0.693371416
ZNF121,0.031567481,0.146952655,0.530534971
ZNF124,0.088021871,0.216308795,0.347527678
ZNF12,0.027148874,0.080030957,0.706656505
ZNF131,0.030065997,0.135030736,0.556803269
ZNF132,0.028476707,0.101704942,0.637369846
ZNF133,0.018694714,0.041379815,0.786205553
ZNF134,0.026938595,0.075115367,0.723710651
ZNF135,0.025331568,0.058261519,0.774848458
ZNF136,0.026494378,0.074905878,0.725867413
ZNF138,0.046255627,0.158568745,0.485357121
ZNF140,0.035934913,0.155031095,0.508419034
ZNF141,0.027557181,0.089985289,0.673859939
ZNF142,0.027660213,0.095335573,0.656874371
ZNF143,0.069563206,0.048915526,0.670555215
ZNF148,0.671270061,0.984498076,0
ZNF14,0.02686941,0.075644479,0.722180162
ZNF154,0.025974332,0.066317355,0.755855456
ZNF155,0.038497133,0.197724078,0.438778661
ZNF157,0.026334408,0.070151639,0.742315531
ZNF160,0.025446843,0.060307553,0.771740662
ZNF165,0.025780917,0.063335903,0.764770654
ZNF169,0.090233512,0.176329756,0.394549288
ZNF16,0.082921468,0.177182956,0.404368529
ZNF174,0.026508576,0.075397577,0.72430338
ZNF175,0.033821184,0.115699905,0.591263374
ZNF177,0.020863346,0.10154407,0.658564
ZNF17,0.026628899,0.077283213,0.717376102
ZNF180,0.030320565,0.111972355,0.607179094
ZNF181,0.019060664,0.045500631,0.784522398
ZNF182,0.031117034,0.11715413,0.5939648
ZNF184,0.01979688,0.055992719,0.778873945
ZNF189,0.025511757,0.060592477,0.771162108
ZNF18,0.0256092,0.061663464,0.769089819
ZNF195,0.020866476,0.076159551,0.740227745
ZNF197,0.020245085,0.055734328,0.778738791
ZNF19,0.027530829,0.085765553,0.687584444
ZNF200,0.01884874,0.054069805,0.780330011
ZNF205,0.026114442,0.069648984,0.744652001
ZNF207,0.021424817,0.074888878,0.742996688
ZNF208,0.0262667,0.069675368,0.744116842
ZNF20,0.033515753,0.124051422,0.573938483
ZNF211,0.025912636,0.064775439,0.760585018
ZNF212,0.026285658,0.072656819,0.7339303
ZNF213,0.038176569,0.175949408,0.471424199
ZNF214,0.025591529,0.061531316,0.769405955
ZNF215,0.026473265,0.071211277,0.738006821
ZNF219,0.024517315,0.097263604,0.660717119
ZNF221,0.02246605,0.093142393,0.680238318
ZNF222,0.02661081,0.078134145,0.714637191
ZNF223,0.029124161,0.091956461,0.662302112
ZNF224,0.026259132,0.071030502,0.739384973
ZNF225,0.019398575,0.050698151,0.781595382
ZNF226,0.027765184,0.095443207,0.656227708
ZNF227,0.026345552,0.069093386,0.74573959
ZNF229,0.027254023,0.078938509,0.709923608
ZNF22,0.02734389,0.089339452,0.676451813
ZNF230,0.025912958,0.066714604,0.754977249
ZNF232,0.030937846,0.114441348,0.600488487
ZNF233,0.025645509,0.062345549,0.767419906
ZNF234,0.025298627,0.057971398,0.775205739
ZNF235,0.026296366,0.07035497,0.741739481
ZNF239,0.018781091,0.042408612,0.785817544
ZNF23,0.025801445,0.119276072,0.601002913
ZNF248,0.019763074,0.056269483,0.778709823
ZNF250,0.028977849,0.107261239,0.621633108
ZNF251,0.026079679,0.068522365,0.748698419
ZNF253,0.025948948,0.066091867,0.756655093
ZNF254,0.027745469,0.089105983,0.675568588
ZNF256,0.027367269,0.078936839,0.709659793
ZNF257,0.026974145,0.078951285,0.711028322
ZNF25,0.025772835,0.063231569,0.764963186
ZNF260,0.017218515,0.042325396,0.786399935
ZNF263,0.027159097,0.079028386,0.709961247
ZNF266,0.016758056,0.037024055,0.787392482
ZNF267,0.025945052,0.064178099,0.76210845
ZNF268,0.026242352,0.068752663,0.747282723
ZNF26,0.027350995,0.075955265,0.719530908
ZNF273,0.026703797,0.077326227,0.716918594
ZNF274,0.140715509,0.119780807,0.403820902
ZNF275,0.025763173,0.063732412,0.763682696
ZNF276,0.034704629,0.104986059,0.612490348
ZNF277,0.027648369,0.092121032,0.666754045
ZNF280A,0.028499065,0.104598967,0.629784732
ZNF280B,0.026749955,0.077962029,0.714799209
ZNF280C,0.026138045,0.068935844,0.747009985
ZNF280D,0.020111147,0.058034796,0.777705493
ZNF281,0.051250737,0.761990257,0.023709464
ZNF282,0.030866306,0.10886376,0.61233063
ZNF283,0.029493071,0.123136137,0.584739166
ZNF284,0.025749248,0.063856389,0.763324294
ZNF285,0.037989507,0.166967313,0.485121124
ZNF286A,0.025466832,0.079581421,0.713623453
ZNF287,0.029157912,0.099555217,0.641068245
ZNF28,0.026624721,0.074437623,0.726945133
ZNF292,0.027812677,0.09299111,0.663366891
ZNF296,0.029119552,0.098261272,0.644641596
ZNF2,0.026927693,0.078048337,0.713950336
ZNF300,0.027173574,0.077218787,0.7158196
ZNF302,0.026759161,0.07667906,0.718961858
ZNF304,0.02671115,0.077848994,0.715301666
ZNF30,0.030176534,0.08980743,0.665881613
ZNF311,0.026478812,0.073949387,0.728721913
ZNF316,0.030536374,0.096750361,0.644993893
ZNF317,0.64253848,0.129075107,0.035873836
ZNF318,0.026635939,0.071516017,0.736696004
ZNF319,0.035380477,0.406004527,0.216137958
ZNF320,0.02065139,0.061816309,0.775908078
ZNF322,0.020517244,0.069589117,0.762163557
ZNF324,0.087449536,0.243278698,0.31466011
ZNF326,0.91400747,0.984696639,0
ZNF329,0.169636636,0.241319927,0.242079019
ZNF32,0.026997089,0.080642512,0.705270721
ZNF333,0.026973951,0.079993707,0.707371791
ZNF334,0.026401861,0.070383743,0.741229063
ZNF335,0.019837251,0.055344621,0.779211644
ZNF337,0.023072447,0.082832932,0.711102797
ZNF33A,0.031158885,0.124722017,0.57746659
ZNF33B,0.046074783,0.155422013,0.490718602
ZNF341,0.026232103,0.071248056,0.738733918
ZNF343,0.025848243,0.064555117,0.761210817
ZNF345,0.017280904,0.042352821,0.786380483
ZNF346,0.028715848,0.091724671,0.664339881
ZNF347,0.027681784,0.090442818,0.671553401
ZNF34,0.041191491,0.299448272,0.303206239
ZNF350,0.026582696,0.074837199,0.72577035
ZNF354A,0.028576601,0.092622469,0.661963944
ZNF354B,0.029053808,0.107436006,0.620955476
ZNF354C,0.026107965,0.068245291,0.749549966
ZNF358,0.019089173,0.045540908,0.784503103
ZNF35,0.025836306,0.064917579,0.760315517
ZNF362,0.019527845,0.052926464,0.780522999
ZNF365,0.025316015,0.058199452,0.774916122
ZNF366,0.028089805,0.092683433,0.663450576
ZNF367,0.025521244,0.060671473,0.77095175
ZNF37A,0.030237413,0.153000245,0.521567212
ZNF382,0.022878332,0.103612754,0.647152281
ZNF383,0.023054907,0.110156026,0.62946435
ZNF385A,0.02642128,0.072421609,0.734213379
ZNF385B,0.029210777,0.10760551,0.619742816
ZNF385C,0.026027104,0.066717561,0.754534961
ZNF385D,0.026584184,0.075413932,0.723925113
ZNF391,0.032552228,0.111127301,0.603889429
ZNF394,0.027062408,0.076270062,0.719444895
ZNF395,0.017107026,0.041630122,0.786594663
ZNF396,0.042021644,0.247760351,0.365470358
ZNF397,0.03077935,0.148273361,0.529707466
ZNF398,0.02781651,0.097492399,0.650817804
ZNF3,0.019373565,0.049871862,0.782030404
ZNF404,0.028952219,0.089023386,0.672179741
ZNF407,0.027471677,0.089420832,0.675492566
ZNF408,0.026210564,0.070424249,0.741780745
ZNF410,0.662988782,0.99341968,0
ZNF414,0.027964845,0.096037711,0.65402934
ZNF415,0.02735015,0.082706164,0.697588771
ZNF416,0.027635196,0.078524818,0.710055287
ZNF417,0.033375897,0.205024003,0.435218623
ZNF418,0.027742569,0.154760775,0.523155655
ZNF419,0.025777738,0.064597174,0.761322133
ZNF41,0.023281852,0.079915838,0.719788558
ZNF420,0.025578533,0.061263122,0.769933981
ZNF423,0.021672377,0.080603638,0.723047991
ZNF425,0.02703462,0.084374325,0.693719632
ZNF426,0.025471451,0.142895903,0.54992164
ZNF428,0.029462113,0.121382008,0.58837787
ZNF429,0.02785736,0.088518988,0.677403401
ZNF430,0.026905128,0.079435811,0.70943315
ZNF431,0.035916903,0.284228406,0.325290526
ZNF432,0.02591997,0.115068083,0.609956731
ZNF433,0.026598571,0.072307236,0.734049585
ZNF438,0.016368162,0.040017,0.787026083
ZNF439,0.025398096,0.059167032,0.773663011
ZNF43,0.033695001,0.12798053,0.56444407
ZNF440,0.025986316,0.066797159,0.754463034
ZNF441,0.028163655,0.09144682,0.667025499
ZNF442,0.026035014,0.067559192,0.752057798
ZNF444,0.028111588,0.099161746,0.645057844
ZNF445,0.063580267,0.693883482,0.039971097
ZNF446,0.020469036,0.064110291,0.773614173
ZNF449,0.040534953,0.290125933,0.314809953
ZNF44,0.026498339,0.072928976,0.732305558
ZNF451,0.028017191,0.098486615,0.647057772
ZNF454,0.027827188,0.095698356,0.655251735
ZNF45,0.020399678,0.062879328,0.775186453
ZNF460,0.027529464,0.092688733,0.664947824
ZNF461,0.060820492,0.129962876,0.508842984
ZNF462,0.026028226,0.066489627,0.755251074
ZNF467,0.025803504,0.063864263,0.763204507
ZNF468,0.025511243,0.060843744,0.770720834
ZNF469,0.032242803,0.117847806,0.589758228
ZNF470,0.028089965,0.088232487,0.677677484
ZNF471,0.028208384,0.091341824,0.667242257
ZNF474,0.037045473,0.114956492,0.586287809
ZNF479,0.028669115,0.102671466,0.634576348
ZNF480,0.03681151,0.207249917,0.427843495
ZNF483,0.027430562,0.08921587,0.676602552
ZNF484,0.023982138,0.05923584,0.775253946
ZNF485,0.032964467,0.135455673,0.549749105
ZNF486,0.040175787,0.154480117,0.501809162
ZNF488,0.027031596,0.082871341,0.698092237
ZNF48,0.026592341,0.073993966,0.72829638
ZNF490,0.026454444,0.073660936,0.729630183
ZNF491,0.027345822,0.087888885,0.681450095
ZNF493,0.025759823,0.062205828,0.767503087
ZNF496,0.026760341,0.077456244,0.716388213
ZNF500,0.026355882,0.071185663,0.73852063
ZNF501,0.031434223,0.160631741,0.506643269
ZNF503,0.034597145,0.16495403,0.493163817
ZNF506,0.030487004,0.124795741,0.578692433
ZNF507,0.301556768,0.981211472,0
ZNF510,0.026449932,0.073510757,0.730344671
ZNF511,0.181862823,0.107152124,0.36610047
ZNF512B,0.040075292,0.101759145,0.608369467
ZNF512,0.051711776,0.231314156,0.374771886
ZNF513,0.02679187,0.077650071,0.715659123
ZNF514,0.02319795,0.057610406,0.776743022
ZNF516,0.025839807,0.065128752,0.759672154
ZNF517,0.019674864,0.055862499,0.779038003
ZNF518A,0.029501175,0.182145813,0.474905743
ZNF518B,0.027187273,0.082968463,0.697251876
ZNF519,0.099170153,0.26240962,0.283572941
ZNF524,0.018766514,0.04184486,0.786079264
ZNF526,0.031422109,0.103218799,0.62538088
ZNF527,0.027527181,0.089204625,0.676200144
ZNF528,0.026914753,0.075525771,0.722447982
ZNF529,0.02647346,0.071652327,0.736739497
ZNF530,0.025722347,0.062685314,0.766310392
ZNF532,0.016198676,0.041828864,0.786721722
ZNF534,0.025904476,0.0663466,0.756020678
ZNF536,0.040926651,0.192026692,0.444434898
ZNF540,0.017240582,0.042936423,0.786147246
ZNF541,0.028951303,0.08756587,0.676978586
ZNF543,0.028562033,0.092113701,0.663756961
ZNF544,0.021961765,0.073175189,0.746827709
ZNF546,0.025615959,0.062658416,0.766688773
ZNF547,0.030201529,0.132214142,0.563060021
ZNF548,0.028539478,0.096709196,0.650940326
ZNF549,0.027487679,0.087670358,0.681546513
ZNF550,0.02935176,0.096301269,0.649957144
ZNF551,0.025621436,0.062171489,0.767928196
ZNF552,0.025348265,0.0590678,0.773867928
ZNF554,0.026590894,0.076509077,0.720062706
ZNF555,0.025422946,0.059637912,0.772799875
ZNF556,0.026967761,0.080041045,0.707217522
ZNF557,0.021289768,0.047047009,0.782417296
ZNF558,0.027846252,0.122574005,0.588885249
ZNF559,0.026167436,0.068335483,0.749017075
ZNF560,0.026429947,0.069405955,0.74439816
ZNF561,0.026288247,0.069398041,0.744945044
ZNF562,0.028355034,0.096827223,0.651123918
ZNF564,0.026165636,0.069022249,0.746632019
ZNF565,0.019474313,0.050538033,0.781624389
ZNF566,0.025840356,0.063726066,0.763465656
ZNF567,0.032791901,0.122727551,0.578350002
ZNF568,0.02653065,0.072067551,0.734984025
ZNF569,0.029293926,0.098457592,0.643579053
ZNF570,0.025843144,0.064761666,0.760741857
ZNF571,0.026490868,0.072363508,0.734183619
ZNF572,0.028161779,0.0980173,0.648062465
ZNF573,0.02585606,0.064330142,0.761832368
ZNF574,0.020856503,0.065548752,0.770640405
ZNF575,0.027908254,0.096693454,0.652493284
ZNF576,0.036985086,0.138302932,0.537456815
ZNF577,0.026063691,0.068681821,0.748083351
ZNF578,0.026983808,0.077841859,0.714348532
ZNF579,0.026979234,0.080873018,0.704521947
ZNF57,0.026233299,0.070494774,0.741491523
ZNF580,0.022944607,0.083153876,0.710318153
ZNF581,0.034599954,0.202593861,0.437726309
ZNF582,0.025929641,0.064447472,0.761288754
ZNF583,0.020580852,0.056380708,0.778226752
ZNF584,0.025976058,0.06631919,0.75582001
ZNF585A,0.053995244,0.158067542,0.474329153
ZNF585B,0.027742352,0.090356067,0.671684162
ZNF586,0.025611989,0.061992571,0.768320459
ZNF587,0.025698826,0.063495501,0.764534804
ZNF589,0.05618598,0.170199461,0.453051267
ZNF592,0.019455533,0.049567989,0.782117417
ZNF593,0.026639625,0.075468485,0.723594993
ZNF594,0.021332268,0.081752909,0.720096926
ZNF595,0.027064807,0.074718338,0.724712949
ZNF596,0.024626601,0.065020518,0.763248083
ZNF597,0.02625441,0.068162896,0.74934733
ZNF599,0.029696516,0.128382538,0.572729284
ZNF600,0.029576178,0.101396889,0.635467907
ZNF605,0.025769005,0.0625357,0.766583829
ZNF606,0.026407457,0.071203143,0.738292616
ZNF610,0.018409039,0.051744084,0.781547038
ZNF611,0.020739855,0.064693722,0.772266702
ZNF613,0.025739118,0.063337486,0.764856265
ZNF614,0.025506153,0.060996148,0.770459229
ZNF615,0.026559359,0.076286659,0.720813059
ZNF616,0.0272145,0.081175606,0.702727764
ZNF618,0.058034768,0.529721538,0.115741157
ZNF619,0.019664949,0.053055313,0.78043614
ZNF620,0.030734332,0.112846542,0.604141647
ZNF621,0.025443347,0.059974566,0.772306285
ZNF623,0.018986979,0.044934933,0.784792571
ZNF624,0.02523258,0.057243938,0.775898477
ZNF625,0.02529895,0.058234865,0.774906457
ZNF626,0.032559687,0.113797598,0.598502395
ZNF627,0.026206399,0.068844484,0.747100987
ZNF628,0.026683092,0.076731275,0.719100107
ZNF629,0.077852126,0.82799515,0.00669262
ZNF630,0.067900963,0.338719692,0.245312241
ZNF638,0.035762923,0.285286179,0.324999473
ZNF639,0.019287,0.073589722,0.754246918
ZNF641,0.02769615,0.09181937,0.667350494
ZNF644,0.027546683,0.265492873,0.361149352
ZNF648,0.026539833,0.074292986,0.727583209
ZNF649,0.026258199,0.068539565,0.747812918
ZNF652,0.021882697,0.08297903,0.714240077
ZNF653,0.025894323,0.065456606,0.758692724
ZNF654,0.025923285,0.065504852,0.758451991
ZNF655,0.025799893,0.064338932,0.762053307
ZNF658,0.02501778,0.079966712,0.713914067
ZNF660,0.030364736,0.114708887,0.601045711
ZNF662,0.042525052,0.16359095,0.483541937
ZNF664,0.026102397,0.0669951,0.753716613
ZNF665,0.033705951,0.110862693,0.601899584
ZNF667,0.026048228,0.068598622,0.748493877
ZNF669,0.030044522,0.126399112,0.576480055
ZNF670,0.025652145,0.062388538,0.767305412
ZNF671,0.026054516,0.067960146,0.750718863
ZNF672,0.025435859,0.059807974,0.772553361
ZNF674,0.019187162,0.048532165,0.782784717
ZNF675,0.029208796,0.100650598,0.638143973
ZNF676,0.028075865,0.085916051,0.685388187
ZNF677,0.028904421,0.097309767,0.647905955
ZNF678,0.025644785,0.062729022,0.766426175
ZNF679,0.021492216,0.071991755,0.75242631
ZNF680,0.026059549,0.067817483,0.751154976
ZNF681,0.029917245,0.095522879,0.650388149
ZNF682,0.027601511,0.082578865,0.697146387
ZNF683,0.024567128,0.066674551,0.75893284
